"","cluster_id","sample_id","group_id"
"cell1174","CD14+ Monocytes","ctrl101.A","A"
"cell1175","CD14+ Monocytes","ctrl107.B","B"
"cell1176","CD14+ Monocytes","ctrl101.A","A"
"cell1177","CD14+ Monocytes","ctrl101.A","A"
"cell1178","CD4 T cells","ctrl101.A","A"
"cell1179","CD4 T cells","ctrl101.A","A"
"cell1180","CD4 T cells","ctrl101.A","A"
"cell1181","CD4 T cells","ctrl101.A","A"
"cell1182","CD14+ Monocytes","ctrl101.B","B"
"cell1183","CD4 T cells","ctrl101.A","A"
"cell1184","CD14+ Monocytes","ctrl101.A","A"
"cell1185","CD4 T cells","ctrl101.A","A"
"cell1186","CD4 T cells","ctrl101.A","A"
"cell1187","CD4 T cells","ctrl101.A","A"
"cell1188","CD4 T cells","ctrl101.A","A"
"cell1189","CD4 T cells","ctrl101.B","B"
"cell1190","CD14+ Monocytes","ctrl107.A","A"
"cell1191","CD4 T cells","ctrl101.A","A"
"cell1192","CD4 T cells","ctrl101.B","B"
"cell1193","CD4 T cells","ctrl101.A","A"
"cell1194","CD14+ Monocytes","ctrl101.A","A"
"cell1195","CD4 T cells","ctrl101.B","B"
"cell1196","CD4 T cells","ctrl101.B","B"
"cell1197","CD4 T cells","ctrl101.A","A"
"cell1198","CD14+ Monocytes","ctrl101.A","A"
"cell1199","CD14+ Monocytes","ctrl101.A","A"
"cell1200","CD14+ Monocytes","ctrl101.B","B"
"cell1201","CD14+ Monocytes","ctrl101.A","A"
"cell1202","CD14+ Monocytes","ctrl101.A","A"
"cell1203","CD4 T cells","ctrl101.A","A"
"cell1204","CD14+ Monocytes","ctrl101.A","A"
"cell1205","CD14+ Monocytes","ctrl101.A","A"
"cell1206","CD14+ Monocytes","ctrl101.A","A"
"cell1207","CD4 T cells","ctrl101.A","A"
"cell1208","CD14+ Monocytes","ctrl101.A","A"
"cell1209","CD14+ Monocytes","ctrl101.A","A"
"cell1210","CD4 T cells","ctrl101.A","A"
"cell1211","CD4 T cells","ctrl101.B","B"
"cell1212","CD14+ Monocytes","ctrl107.A","A"
"cell1213","CD14+ Monocytes","ctrl101.A","A"
"cell1214","CD4 T cells","ctrl101.A","A"
"cell1215","CD14+ Monocytes","ctrl101.A","A"
"cell1216","CD14+ Monocytes","ctrl101.A","A"
"cell1217","CD14+ Monocytes","ctrl101.A","A"
"cell1218","CD14+ Monocytes","ctrl101.A","A"
"cell1219","CD4 T cells","ctrl101.A","A"
"cell1220","CD4 T cells","ctrl101.A","A"
"cell1221","CD4 T cells","ctrl101.A","A"
"cell1222","CD14+ Monocytes","ctrl101.A","A"
"cell1223","CD4 T cells","ctrl101.A","A"
"cell1224","CD14+ Monocytes","ctrl101.A","A"
"cell1225","CD14+ Monocytes","ctrl101.A","A"
"cell1226","CD4 T cells","ctrl101.A","A"
"cell1227","CD14+ Monocytes","ctrl101.A","A"
"cell1228","CD14+ Monocytes","ctrl101.B","B"
"cell1229","CD14+ Monocytes","ctrl107.A","A"
"cell1230","CD4 T cells","ctrl101.B","B"
"cell1231","CD14+ Monocytes","ctrl101.A","A"
"cell1232","CD14+ Monocytes","ctrl101.A","A"
"cell1233","CD4 T cells","ctrl101.A","A"
"cell1234","CD14+ Monocytes","ctrl101.A","A"
"cell1235","CD14+ Monocytes","ctrl101.A","A"
"cell1236","CD4 T cells","ctrl101.A","A"
"cell1237","CD14+ Monocytes","ctrl101.A","A"
"cell1238","CD4 T cells","ctrl101.A","A"
"cell1239","CD4 T cells","ctrl101.A","A"
"cell1240","CD14+ Monocytes","ctrl101.A","A"
"cell1241","CD14+ Monocytes","ctrl101.A","A"
"cell1242","CD14+ Monocytes","ctrl101.A","A"
"cell1243","CD4 T cells","ctrl101.A","A"
"cell1244","CD14+ Monocytes","ctrl107.A","A"
"cell1245","CD14+ Monocytes","ctrl107.A","A"
"cell1246","CD4 T cells","ctrl101.A","A"
"cell1247","CD4 T cells","ctrl101.A","A"
"cell1248","CD14+ Monocytes","ctrl101.A","A"
"cell1249","CD4 T cells","ctrl101.A","A"
"cell1250","CD4 T cells","ctrl107.A","A"
"cell1251","CD14+ Monocytes","ctrl107.A","A"
"cell1252","CD14+ Monocytes","ctrl101.A","A"
"cell1253","CD14+ Monocytes","ctrl101.A","A"
"cell1254","CD4 T cells","ctrl101.A","A"
"cell1255","CD14+ Monocytes","ctrl101.A","A"
"cell1256","CD14+ Monocytes","ctrl101.A","A"
"cell1257","CD4 T cells","ctrl101.A","A"
"cell1258","CD14+ Monocytes","ctrl101.A","A"
"cell1259","CD4 T cells","ctrl101.A","A"
"cell1260","CD4 T cells","ctrl101.A","A"
"cell1261","CD14+ Monocytes","ctrl101.A","A"
"cell1262","CD14+ Monocytes","ctrl101.A","A"
"cell1263","CD4 T cells","ctrl101.A","A"
"cell1264","CD14+ Monocytes","ctrl101.A","A"
"cell1265","CD14+ Monocytes","ctrl101.B","B"
"cell1266","CD4 T cells","ctrl101.B","B"
"cell1267","CD4 T cells","ctrl101.A","A"
"cell1268","CD4 T cells","ctrl101.B","B"
"cell1269","CD14+ Monocytes","ctrl101.A","A"
"cell1270","CD4 T cells","ctrl101.A","A"
"cell1271","CD4 T cells","ctrl101.A","A"
"cell1272","CD14+ Monocytes","ctrl101.A","A"
"cell1273","CD4 T cells","ctrl107.A","A"
"cell1274","CD14+ Monocytes","ctrl101.A","A"
"cell1275","CD4 T cells","ctrl101.A","A"
"cell1276","CD14+ Monocytes","ctrl101.A","A"
"cell1277","CD14+ Monocytes","ctrl101.A","A"
"cell1278","CD14+ Monocytes","ctrl101.A","A"
"cell1279","CD14+ Monocytes","ctrl101.A","A"
"cell1280","CD4 T cells","ctrl101.A","A"
"cell1281","CD14+ Monocytes","ctrl101.A","A"
"cell1282","CD14+ Monocytes","ctrl101.A","A"
"cell1283","CD4 T cells","ctrl101.A","A"
"cell1284","CD14+ Monocytes","ctrl101.B","B"
"cell1285","CD4 T cells","ctrl101.A","A"
"cell1286","CD14+ Monocytes","ctrl101.A","A"
"cell1287","CD14+ Monocytes","ctrl101.A","A"
"cell1288","CD14+ Monocytes","ctrl101.A","A"
"cell1289","CD14+ Monocytes","ctrl107.B","B"
"cell1290","CD14+ Monocytes","ctrl101.A","A"
"cell1291","CD14+ Monocytes","ctrl107.A","A"
"cell1292","CD4 T cells","ctrl107.A","A"
"cell1293","CD14+ Monocytes","ctrl101.A","A"
"cell1294","CD4 T cells","ctrl107.A","A"
"cell1295","CD14+ Monocytes","ctrl101.A","A"
"cell1296","CD14+ Monocytes","ctrl101.A","A"
"cell1297","CD4 T cells","ctrl101.A","A"
"cell1298","CD14+ Monocytes","ctrl107.B","B"
"cell1299","CD4 T cells","ctrl101.A","A"
"cell1300","CD4 T cells","ctrl101.A","A"
"cell1301","CD14+ Monocytes","ctrl101.B","B"
"cell1302","CD14+ Monocytes","ctrl101.A","A"
"cell1303","CD4 T cells","ctrl107.A","A"
"cell1304","CD4 T cells","ctrl101.B","B"
"cell1305","CD14+ Monocytes","ctrl107.A","A"
"cell1306","CD4 T cells","ctrl101.A","A"
"cell1307","CD4 T cells","ctrl107.A","A"
"cell1308","CD4 T cells","ctrl101.B","B"
"cell1309","CD4 T cells","ctrl101.A","A"
"cell1310","CD14+ Monocytes","ctrl101.A","A"
"cell1311","CD14+ Monocytes","ctrl101.A","A"
"cell1312","CD14+ Monocytes","ctrl107.A","A"
"cell1313","CD4 T cells","ctrl101.B","B"
"cell1314","CD4 T cells","ctrl101.A","A"
"cell1315","CD4 T cells","ctrl101.A","A"
"cell1316","CD14+ Monocytes","ctrl101.A","A"
"cell1317","CD14+ Monocytes","ctrl101.A","A"
"cell1318","CD14+ Monocytes","ctrl101.A","A"
"cell1319","CD14+ Monocytes","ctrl101.B","B"
"cell1320","CD14+ Monocytes","ctrl107.A","A"
"cell1321","CD14+ Monocytes","ctrl101.A","A"
"cell1322","CD4 T cells","ctrl107.B","B"
"cell1323","CD4 T cells","ctrl101.A","A"
"cell1324","CD4 T cells","ctrl101.A","A"
"cell1325","CD4 T cells","ctrl101.A","A"
"cell1326","CD4 T cells","ctrl101.A","A"
"cell1327","CD4 T cells","ctrl101.A","A"
"cell1328","CD14+ Monocytes","ctrl101.A","A"
"cell1329","CD14+ Monocytes","ctrl101.A","A"
"cell1330","CD14+ Monocytes","ctrl101.A","A"
"cell1331","CD14+ Monocytes","ctrl101.A","A"
"cell1332","CD14+ Monocytes","ctrl101.A","A"
"cell1333","CD4 T cells","ctrl107.A","A"
"cell1334","CD14+ Monocytes","ctrl101.A","A"
"cell1335","CD14+ Monocytes","ctrl101.A","A"
"cell1336","CD14+ Monocytes","ctrl107.A","A"
"cell1337","CD14+ Monocytes","ctrl101.A","A"
"cell1338","CD14+ Monocytes","ctrl101.A","A"
"cell1339","CD14+ Monocytes","ctrl101.A","A"
"cell1340","CD4 T cells","ctrl101.A","A"
"cell1341","CD14+ Monocytes","ctrl101.A","A"
"cell1342","CD14+ Monocytes","ctrl101.A","A"
"cell1343","CD4 T cells","ctrl101.A","A"
"cell1344","CD4 T cells","ctrl101.B","B"
"cell1345","CD14+ Monocytes","ctrl101.A","A"
"cell1346","CD4 T cells","ctrl101.B","B"
"cell1347","CD4 T cells","ctrl101.A","A"
"cell1348","CD4 T cells","ctrl101.A","A"
"cell1349","CD14+ Monocytes","ctrl101.A","A"
"cell1350","CD14+ Monocytes","ctrl101.A","A"
"cell1351","CD14+ Monocytes","ctrl107.A","A"
"cell1352","CD14+ Monocytes","ctrl101.A","A"
"cell1353","CD14+ Monocytes","ctrl101.A","A"
"cell1354","CD14+ Monocytes","ctrl101.A","A"
"cell1355","CD14+ Monocytes","ctrl101.A","A"
"cell1356","CD4 T cells","ctrl101.A","A"
"cell1357","CD14+ Monocytes","ctrl101.A","A"
"cell1358","CD14+ Monocytes","ctrl101.A","A"
"cell1359","CD4 T cells","ctrl101.B","B"
"cell1360","CD14+ Monocytes","ctrl107.A","A"
"cell1361","CD14+ Monocytes","ctrl101.A","A"
"cell1362","CD4 T cells","ctrl101.B","B"
"cell1363","CD14+ Monocytes","ctrl101.A","A"
"cell1364","CD14+ Monocytes","ctrl101.A","A"
"cell1365","CD4 T cells","ctrl101.B","B"
"cell1366","CD14+ Monocytes","ctrl101.A","A"
"cell1367","CD4 T cells","ctrl101.A","A"
"cell1368","CD4 T cells","ctrl101.A","A"
"cell1369","CD14+ Monocytes","ctrl107.A","A"
"cell1370","CD4 T cells","ctrl101.A","A"
"cell1371","CD14+ Monocytes","ctrl101.B","B"
"cell1372","CD14+ Monocytes","ctrl101.A","A"
"cell1373","CD4 T cells","ctrl101.A","A"
"cell1374","CD14+ Monocytes","ctrl101.A","A"
"cell1375","CD4 T cells","ctrl101.A","A"
"cell1376","CD4 T cells","ctrl101.A","A"
"cell1377","CD4 T cells","ctrl101.A","A"
"cell1378","CD14+ Monocytes","ctrl101.B","B"
"cell1379","CD4 T cells","ctrl101.A","A"
"cell1380","CD14+ Monocytes","ctrl101.A","A"
"cell1381","CD14+ Monocytes","ctrl101.A","A"
"cell1382","CD14+ Monocytes","ctrl101.A","A"
"cell1383","CD14+ Monocytes","ctrl101.A","A"
"cell1384","CD4 T cells","ctrl101.A","A"
"cell1385","CD4 T cells","ctrl101.B","B"
"cell1386","CD14+ Monocytes","ctrl101.A","A"
"cell1387","CD4 T cells","ctrl101.A","A"
"cell1388","CD4 T cells","ctrl101.A","A"
"cell1389","CD4 T cells","ctrl101.A","A"
"cell1390","CD14+ Monocytes","ctrl101.A","A"
"cell1391","CD14+ Monocytes","ctrl101.A","A"
"cell1392","CD14+ Monocytes","ctrl101.A","A"
"cell1393","CD4 T cells","ctrl101.B","B"
"cell1394","CD4 T cells","ctrl101.A","A"
"cell1395","CD4 T cells","ctrl101.A","A"
"cell1396","CD4 T cells","ctrl101.A","A"
"cell1397","CD14+ Monocytes","ctrl101.A","A"
"cell1398","CD4 T cells","ctrl101.A","A"
"cell1399","CD4 T cells","ctrl101.A","A"
"cell1400","CD4 T cells","ctrl101.A","A"
"cell1401","CD4 T cells","ctrl101.A","A"
"cell1402","CD4 T cells","ctrl101.A","A"
"cell1403","CD4 T cells","ctrl107.B","B"
"cell1404","CD14+ Monocytes","ctrl101.A","A"
"cell1405","CD4 T cells","ctrl101.A","A"
"cell1406","CD14+ Monocytes","ctrl101.A","A"
"cell1407","CD4 T cells","ctrl101.A","A"
"cell1408","CD4 T cells","ctrl101.A","A"
"cell1409","CD4 T cells","ctrl101.A","A"
"cell1410","CD4 T cells","ctrl101.A","A"
"cell1411","CD14+ Monocytes","ctrl107.A","A"
"cell1412","CD4 T cells","ctrl101.A","A"
"cell1413","CD14+ Monocytes","ctrl101.A","A"
"cell1414","CD14+ Monocytes","ctrl101.A","A"
"cell1415","CD14+ Monocytes","ctrl101.A","A"
"cell1416","CD4 T cells","ctrl101.A","A"
"cell1417","CD4 T cells","ctrl101.A","A"
"cell1418","CD4 T cells","ctrl107.A","A"
"cell1419","CD4 T cells","ctrl101.B","B"
"cell1420","CD14+ Monocytes","ctrl101.A","A"
"cell1421","CD4 T cells","ctrl101.B","B"
"cell1422","CD14+ Monocytes","ctrl101.A","A"
"cell1423","CD14+ Monocytes","ctrl101.A","A"
"cell1424","CD14+ Monocytes","ctrl101.A","A"
"cell1425","CD14+ Monocytes","ctrl101.A","A"
"cell1426","CD14+ Monocytes","ctrl107.A","A"
"cell1427","CD4 T cells","ctrl101.A","A"
"cell1428","CD4 T cells","ctrl101.B","B"
"cell1429","CD14+ Monocytes","ctrl101.A","A"
"cell1430","CD4 T cells","ctrl101.A","A"
"cell1431","CD14+ Monocytes","ctrl101.A","A"
"cell1432","CD14+ Monocytes","ctrl101.A","A"
"cell1433","CD4 T cells","ctrl101.A","A"
"cell1434","CD4 T cells","ctrl101.A","A"
"cell1435","CD4 T cells","ctrl101.A","A"
"cell1436","CD14+ Monocytes","ctrl107.A","A"
"cell1437","CD14+ Monocytes","ctrl101.A","A"
"cell1438","CD14+ Monocytes","ctrl101.A","A"
"cell1439","CD4 T cells","ctrl101.A","A"
"cell1440","CD4 T cells","ctrl107.A","A"
"cell1441","CD4 T cells","ctrl101.B","B"
"cell1442","CD4 T cells","ctrl101.A","A"
"cell1443","CD14+ Monocytes","ctrl101.A","A"
"cell1444","CD4 T cells","ctrl101.A","A"
"cell1445","CD4 T cells","ctrl101.B","B"
"cell1446","CD14+ Monocytes","ctrl107.A","A"
"cell1447","CD14+ Monocytes","ctrl101.A","A"
"cell1448","CD4 T cells","ctrl101.A","A"
"cell1449","CD4 T cells","ctrl101.A","A"
"cell1450","CD14+ Monocytes","ctrl101.A","A"
"cell1451","CD4 T cells","ctrl101.A","A"
"cell1452","CD4 T cells","ctrl101.A","A"
"cell1453","CD4 T cells","ctrl101.A","A"
"cell1454","CD4 T cells","ctrl101.A","A"
"cell1455","CD14+ Monocytes","ctrl101.A","A"
"cell1456","CD4 T cells","ctrl101.A","A"
"cell1457","CD4 T cells","ctrl101.A","A"
"cell1458","CD4 T cells","ctrl101.A","A"
"cell1459","CD4 T cells","ctrl101.A","A"
"cell1460","CD14+ Monocytes","ctrl101.A","A"
"cell1461","CD14+ Monocytes","ctrl101.A","A"
"cell1462","CD4 T cells","ctrl101.A","A"
"cell1463","CD14+ Monocytes","ctrl107.A","A"
"cell1464","CD4 T cells","ctrl107.A","A"
"cell1465","CD4 T cells","ctrl101.A","A"
"cell1466","CD14+ Monocytes","ctrl101.A","A"
"cell1467","CD14+ Monocytes","ctrl101.A","A"
"cell1468","CD4 T cells","ctrl101.A","A"
"cell1469","CD14+ Monocytes","ctrl101.A","A"
"cell1470","CD14+ Monocytes","ctrl101.B","B"
"cell1471","CD4 T cells","ctrl101.A","A"
"cell1472","CD4 T cells","ctrl107.A","A"
"cell1473","CD4 T cells","ctrl107.A","A"
"cell1474","CD14+ Monocytes","ctrl101.A","A"
"cell1475","CD4 T cells","ctrl107.B","B"
"cell1476","CD4 T cells","ctrl101.A","A"
"cell1477","CD14+ Monocytes","ctrl101.B","B"
"cell1478","CD4 T cells","ctrl101.A","A"
"cell1479","CD4 T cells","ctrl101.A","A"
"cell1480","CD4 T cells","ctrl107.A","A"
"cell1481","CD4 T cells","ctrl101.A","A"
"cell1482","CD4 T cells","ctrl101.A","A"
"cell1483","CD4 T cells","ctrl101.A","A"
"cell1484","CD14+ Monocytes","ctrl101.A","A"
"cell1485","CD4 T cells","ctrl107.A","A"
"cell1486","CD4 T cells","ctrl101.A","A"
"cell1487","CD4 T cells","ctrl101.A","A"
"cell1488","CD4 T cells","ctrl101.A","A"
"cell1489","CD4 T cells","ctrl101.A","A"
"cell1490","CD14+ Monocytes","ctrl107.B","B"
"cell1491","CD14+ Monocytes","ctrl101.B","B"
"cell1492","CD4 T cells","ctrl101.B","B"
"cell1493","CD14+ Monocytes","ctrl101.A","A"
"cell1494","CD14+ Monocytes","ctrl107.A","A"
"cell1495","CD14+ Monocytes","ctrl101.A","A"
"cell1496","CD4 T cells","ctrl101.A","A"
"cell1497","CD14+ Monocytes","ctrl107.A","A"
"cell1498","CD4 T cells","ctrl101.A","A"
"cell1499","CD14+ Monocytes","ctrl101.A","A"
"cell1500","CD4 T cells","ctrl101.A","A"
"cell1501","CD4 T cells","ctrl101.B","B"
"cell1502","CD4 T cells","ctrl101.A","A"
"cell1503","CD4 T cells","ctrl101.A","A"
"cell1504","CD14+ Monocytes","ctrl101.A","A"
"cell1505","CD4 T cells","ctrl101.A","A"
"cell1506","CD4 T cells","ctrl101.A","A"
"cell1507","CD14+ Monocytes","ctrl101.A","A"
"cell1508","CD14+ Monocytes","ctrl101.A","A"
"cell1509","CD14+ Monocytes","ctrl101.A","A"
"cell1510","CD14+ Monocytes","ctrl101.A","A"
"cell1511","CD4 T cells","ctrl107.A","A"
"cell1512","CD4 T cells","ctrl101.B","B"
"cell1513","CD4 T cells","ctrl101.A","A"
"cell1514","CD4 T cells","ctrl101.B","B"
"cell1515","CD4 T cells","ctrl101.B","B"
"cell1516","CD4 T cells","ctrl101.A","A"
"cell1517","CD4 T cells","ctrl101.A","A"
"cell1518","CD4 T cells","ctrl101.B","B"
"cell1519","CD4 T cells","ctrl101.A","A"
"cell1520","CD4 T cells","ctrl107.A","A"
"cell1521","CD4 T cells","ctrl107.A","A"
"cell1522","CD4 T cells","ctrl107.A","A"
"cell1523","CD14+ Monocytes","ctrl101.A","A"
"cell1524","CD4 T cells","ctrl101.A","A"
"cell1525","CD4 T cells","ctrl101.A","A"
"cell1526","CD4 T cells","ctrl101.A","A"
"cell1527","CD14+ Monocytes","ctrl101.A","A"
"cell1528","CD14+ Monocytes","ctrl101.A","A"
"cell1529","CD4 T cells","ctrl101.A","A"
"cell1530","CD14+ Monocytes","ctrl101.A","A"
"cell1531","CD14+ Monocytes","ctrl101.A","A"
"cell1532","CD14+ Monocytes","ctrl101.A","A"
"cell1533","CD14+ Monocytes","ctrl101.A","A"
"cell1534","CD14+ Monocytes","ctrl101.A","A"
"cell1535","CD14+ Monocytes","ctrl101.A","A"
"cell1536","CD4 T cells","ctrl101.A","A"
"cell1537","CD14+ Monocytes","ctrl101.A","A"
"cell1538","CD4 T cells","ctrl101.A","A"
"cell1539","CD14+ Monocytes","ctrl101.A","A"
"cell1540","CD14+ Monocytes","ctrl101.A","A"
"cell1541","CD14+ Monocytes","ctrl101.A","A"
"cell1542","CD14+ Monocytes","ctrl101.A","A"
"cell1543","CD14+ Monocytes","ctrl101.A","A"
"cell1544","CD4 T cells","ctrl101.B","B"
"cell1545","CD14+ Monocytes","ctrl101.A","A"
"cell1546","CD14+ Monocytes","ctrl101.A","A"
"cell1547","CD4 T cells","ctrl101.A","A"
"cell1548","CD4 T cells","ctrl101.A","A"
"cell1549","CD4 T cells","ctrl101.A","A"
"cell1550","CD14+ Monocytes","ctrl101.A","A"
"cell1551","CD4 T cells","ctrl101.A","A"
"cell1552","CD4 T cells","ctrl101.A","A"
"cell1553","CD4 T cells","ctrl101.A","A"
"cell1554","CD4 T cells","ctrl101.A","A"
"cell1555","CD14+ Monocytes","ctrl101.A","A"
"cell1556","CD4 T cells","ctrl101.A","A"
"cell1557","CD14+ Monocytes","ctrl101.A","A"
"cell1558","CD14+ Monocytes","ctrl101.A","A"
"cell1559","CD14+ Monocytes","ctrl101.A","A"
"cell1560","CD4 T cells","ctrl101.A","A"
"cell1561","CD4 T cells","ctrl101.B","B"
"cell1562","CD14+ Monocytes","ctrl101.A","A"
"cell1563","CD4 T cells","ctrl101.A","A"
"cell1564","CD4 T cells","ctrl101.A","A"
"cell1565","CD14+ Monocytes","ctrl101.A","A"
"cell1566","CD14+ Monocytes","ctrl101.A","A"
"cell1567","CD4 T cells","ctrl101.A","A"
"cell1568","CD4 T cells","ctrl101.A","A"
"cell1569","CD4 T cells","ctrl101.B","B"
"cell1570","CD14+ Monocytes","ctrl101.B","B"
"cell1571","CD14+ Monocytes","ctrl101.A","A"
"cell1572","CD14+ Monocytes","ctrl101.A","A"
"cell1573","CD4 T cells","ctrl101.A","A"
"cell1574","CD14+ Monocytes","ctrl107.A","A"
"cell1575","CD14+ Monocytes","ctrl101.A","A"
"cell1576","CD4 T cells","ctrl101.B","B"
"cell1577","CD4 T cells","ctrl101.A","A"
"cell1578","CD14+ Monocytes","ctrl101.B","B"
"cell1579","CD4 T cells","ctrl101.A","A"
"cell1580","CD4 T cells","ctrl101.B","B"
"cell1581","CD14+ Monocytes","ctrl101.A","A"
"cell1582","CD14+ Monocytes","ctrl101.A","A"
"cell1583","CD14+ Monocytes","ctrl101.A","A"
"cell1584","CD4 T cells","ctrl101.A","A"
"cell1585","CD4 T cells","ctrl101.A","A"
"cell1586","CD14+ Monocytes","ctrl101.A","A"
"cell1587","CD4 T cells","ctrl101.A","A"
"cell1588","CD14+ Monocytes","ctrl101.A","A"
"cell1589","CD4 T cells","ctrl107.A","A"
"cell1590","CD4 T cells","ctrl101.A","A"
"cell1591","CD14+ Monocytes","ctrl101.A","A"
"cell1592","CD4 T cells","ctrl101.A","A"
"cell1593","CD4 T cells","ctrl101.A","A"
"cell1594","CD4 T cells","ctrl101.A","A"
"cell1595","CD4 T cells","ctrl101.A","A"
"cell1596","CD14+ Monocytes","ctrl101.A","A"
"cell1597","CD4 T cells","ctrl101.A","A"
"cell1598","CD14+ Monocytes","ctrl101.A","A"
"cell1599","CD14+ Monocytes","ctrl101.A","A"
"cell1600","CD14+ Monocytes","ctrl101.A","A"
"cell1601","CD14+ Monocytes","ctrl101.A","A"
"cell1602","CD4 T cells","ctrl101.A","A"
"cell1603","CD14+ Monocytes","ctrl101.A","A"
"cell1604","CD14+ Monocytes","ctrl101.A","A"
"cell1605","CD4 T cells","ctrl107.A","A"
"cell1606","CD14+ Monocytes","ctrl107.A","A"
"cell1607","CD14+ Monocytes","ctrl101.A","A"
"cell1608","CD14+ Monocytes","ctrl101.A","A"
"cell1609","CD14+ Monocytes","ctrl101.B","B"
"cell1610","CD14+ Monocytes","ctrl101.A","A"
"cell1611","CD4 T cells","ctrl107.A","A"
"cell1612","CD14+ Monocytes","ctrl101.A","A"
"cell1613","CD4 T cells","ctrl101.A","A"
"cell1614","CD14+ Monocytes","ctrl101.A","A"
"cell1615","CD4 T cells","ctrl101.A","A"
"cell1616","CD4 T cells","ctrl101.A","A"
"cell1617","CD14+ Monocytes","ctrl101.A","A"
"cell1618","CD4 T cells","ctrl101.A","A"
"cell1619","CD14+ Monocytes","ctrl101.A","A"
"cell1620","CD14+ Monocytes","ctrl101.A","A"
"cell1621","CD14+ Monocytes","ctrl101.B","B"
"cell1622","CD4 T cells","ctrl101.A","A"
"cell1623","CD4 T cells","ctrl101.A","A"
"cell1624","CD14+ Monocytes","ctrl101.B","B"
"cell1625","CD4 T cells","ctrl101.B","B"
"cell1626","CD4 T cells","ctrl101.A","A"
"cell1627","CD4 T cells","ctrl101.A","A"
"cell1628","CD14+ Monocytes","ctrl101.A","A"
"cell1629","CD14+ Monocytes","ctrl101.A","A"
"cell1630","CD14+ Monocytes","ctrl101.A","A"
"cell1631","CD14+ Monocytes","ctrl101.A","A"
"cell1632","CD14+ Monocytes","ctrl107.A","A"
"cell1633","CD4 T cells","ctrl101.A","A"
"cell1634","CD4 T cells","ctrl107.B","B"
"cell1635","CD14+ Monocytes","ctrl101.A","A"
"cell1636","CD4 T cells","ctrl101.A","A"
"cell1637","CD14+ Monocytes","ctrl101.A","A"
"cell1638","CD4 T cells","ctrl101.A","A"
"cell1639","CD4 T cells","ctrl101.A","A"
"cell1640","CD14+ Monocytes","ctrl101.A","A"
"cell1641","CD14+ Monocytes","ctrl101.A","A"
"cell1642","CD14+ Monocytes","ctrl101.A","A"
"cell1643","CD4 T cells","ctrl101.A","A"
"cell1644","CD4 T cells","ctrl101.A","A"
"cell1645","CD14+ Monocytes","ctrl101.A","A"
"cell1646","CD14+ Monocytes","ctrl101.A","A"
"cell1647","CD4 T cells","ctrl101.A","A"
"cell1648","CD4 T cells","ctrl101.A","A"
"cell1649","CD14+ Monocytes","ctrl101.A","A"
"cell1650","CD14+ Monocytes","ctrl101.A","A"
"cell1651","CD4 T cells","ctrl107.A","A"
"cell1652","CD4 T cells","ctrl101.A","A"
"cell1653","CD14+ Monocytes","ctrl101.A","A"
"cell1654","CD14+ Monocytes","ctrl101.A","A"
"cell1655","CD4 T cells","ctrl101.A","A"
"cell1656","CD4 T cells","ctrl101.A","A"
"cell1657","CD14+ Monocytes","ctrl101.A","A"
"cell1658","CD14+ Monocytes","ctrl101.A","A"
"cell1659","CD4 T cells","ctrl101.A","A"
"cell1660","CD4 T cells","ctrl101.A","A"
"cell1661","CD14+ Monocytes","ctrl101.B","B"
"cell1662","CD14+ Monocytes","ctrl101.A","A"
"cell1663","CD14+ Monocytes","ctrl101.A","A"
"cell1664","CD4 T cells","ctrl101.A","A"
"cell1665","CD14+ Monocytes","ctrl101.A","A"
"cell1666","CD14+ Monocytes","ctrl101.A","A"
"cell1667","CD4 T cells","ctrl107.A","A"
"cell1668","CD14+ Monocytes","ctrl101.A","A"
"cell1669","CD14+ Monocytes","ctrl101.A","A"
"cell1670","CD4 T cells","ctrl101.A","A"
"cell1671","CD14+ Monocytes","ctrl101.A","A"
"cell1672","CD14+ Monocytes","ctrl101.A","A"
"cell1673","CD14+ Monocytes","ctrl101.A","A"
"cell1674","CD14+ Monocytes","ctrl101.A","A"
"cell1675","CD4 T cells","ctrl101.B","B"
"cell1676","CD14+ Monocytes","ctrl101.A","A"
"cell1677","CD14+ Monocytes","ctrl107.A","A"
"cell1678","CD14+ Monocytes","ctrl101.A","A"
"cell1679","CD4 T cells","ctrl101.A","A"
"cell1680","CD4 T cells","ctrl101.A","A"
"cell1681","CD14+ Monocytes","ctrl101.A","A"
"cell1682","CD14+ Monocytes","ctrl101.A","A"
"cell1683","CD4 T cells","ctrl101.A","A"
"cell1684","CD4 T cells","ctrl101.A","A"
"cell1685","CD14+ Monocytes","ctrl101.A","A"
"cell1686","CD14+ Monocytes","ctrl101.A","A"
"cell1687","CD14+ Monocytes","ctrl101.A","A"
"cell1688","CD4 T cells","ctrl101.A","A"
"cell1689","CD4 T cells","ctrl101.A","A"
"cell1690","CD14+ Monocytes","ctrl107.A","A"
"cell1691","CD14+ Monocytes","ctrl101.A","A"
"cell1692","CD14+ Monocytes","ctrl101.A","A"
"cell1693","CD14+ Monocytes","ctrl101.A","A"
"cell1694","CD4 T cells","ctrl101.A","A"
"cell1695","CD14+ Monocytes","ctrl101.A","A"
"cell1696","CD4 T cells","ctrl107.A","A"
"cell1697","CD14+ Monocytes","ctrl101.A","A"
"cell1698","CD4 T cells","ctrl101.A","A"
"cell1699","CD4 T cells","ctrl101.A","A"
"cell1700","CD4 T cells","ctrl101.A","A"
