"","cluster_id","sample_id","group_id"
"cell1226","CD4 T cells","ctrl101.A","A"
"cell1227","CD14+ Monocytes","ctrl101.B","B"
"cell1228","CD14+ Monocytes","ctrl101.A","A"
"cell1229","CD4 T cells","ctrl101.A","A"
"cell1230","CD14+ Monocytes","ctrl101.A","A"
"cell1231","CD14+ Monocytes","ctrl101.A","A"
"cell1232","CD14+ Monocytes","ctrl101.A","A"
"cell1233","CD4 T cells","ctrl101.A","A"
"cell1234","CD4 T cells","ctrl101.A","A"
"cell1235","CD14+ Monocytes","ctrl101.A","A"
"cell1236","CD4 T cells","ctrl101.A","A"
"cell1237","CD14+ Monocytes","ctrl107.B","B"
"cell1238","CD14+ Monocytes","ctrl101.A","A"
"cell1239","CD4 T cells","ctrl101.A","A"
"cell1240","CD4 T cells","ctrl101.B","B"
"cell1241","CD14+ Monocytes","ctrl101.A","A"
"cell1242","CD4 T cells","ctrl107.A","A"
"cell1243","CD14+ Monocytes","ctrl101.A","A"
"cell1244","CD14+ Monocytes","ctrl101.A","A"
"cell1245","CD4 T cells","ctrl101.A","A"
"cell1246","CD14+ Monocytes","ctrl101.A","A"
"cell1247","CD14+ Monocytes","ctrl101.A","A"
"cell1248","CD4 T cells","ctrl101.A","A"
"cell1249","CD14+ Monocytes","ctrl101.A","A"
"cell1250","CD4 T cells","ctrl101.A","A"
"cell1251","CD14+ Monocytes","ctrl107.A","A"
"cell1252","CD14+ Monocytes","ctrl107.B","B"
"cell1253","CD4 T cells","ctrl101.A","A"
"cell1254","CD14+ Monocytes","ctrl101.A","A"
"cell1255","CD14+ Monocytes","ctrl107.A","A"
"cell1256","CD4 T cells","ctrl101.A","A"
"cell1257","CD14+ Monocytes","ctrl101.A","A"
"cell1258","CD4 T cells","ctrl101.A","A"
"cell1259","CD14+ Monocytes","ctrl101.B","B"
"cell1260","CD4 T cells","ctrl101.A","A"
"cell1261","CD14+ Monocytes","ctrl101.A","A"
"cell1262","CD14+ Monocytes","ctrl101.A","A"
"cell1263","CD14+ Monocytes","ctrl101.A","A"
"cell1264","CD4 T cells","ctrl107.A","A"
"cell1265","CD4 T cells","ctrl101.B","B"
"cell1266","CD4 T cells","ctrl101.A","A"
"cell1267","CD4 T cells","ctrl101.A","A"
"cell1268","CD14+ Monocytes","ctrl101.A","A"
"cell1269","CD4 T cells","ctrl101.A","A"
"cell1270","CD4 T cells","ctrl101.B","B"
"cell1271","CD4 T cells","ctrl101.A","A"
"cell1272","CD14+ Monocytes","ctrl101.A","A"
"cell1273","CD14+ Monocytes","ctrl101.A","A"
"cell1274","CD4 T cells","ctrl101.A","A"
"cell1275","CD14+ Monocytes","ctrl101.A","A"
"cell1276","CD4 T cells","ctrl101.A","A"
"cell1277","CD4 T cells","ctrl107.A","A"
"cell1278","CD14+ Monocytes","ctrl101.A","A"
"cell1279","CD14+ Monocytes","ctrl101.A","A"
"cell1280","CD4 T cells","ctrl101.A","A"
"cell1281","CD14+ Monocytes","ctrl101.A","A"
"cell1282","CD14+ Monocytes","ctrl101.A","A"
"cell1283","CD4 T cells","ctrl101.A","A"
"cell1284","CD14+ Monocytes","ctrl101.A","A"
"cell1285","CD14+ Monocytes","ctrl101.A","A"
"cell1286","CD14+ Monocytes","ctrl101.A","A"
"cell1287","CD4 T cells","ctrl107.A","A"
"cell1288","CD4 T cells","ctrl101.A","A"
"cell1289","CD4 T cells","ctrl101.A","A"
"cell1290","CD14+ Monocytes","ctrl101.A","A"
"cell1291","CD14+ Monocytes","ctrl101.A","A"
"cell1292","CD4 T cells","ctrl101.A","A"
"cell1293","CD4 T cells","ctrl101.A","A"
"cell1294","CD4 T cells","ctrl101.A","A"
"cell1295","CD14+ Monocytes","ctrl101.A","A"
"cell1296","CD4 T cells","ctrl101.A","A"
"cell1297","CD4 T cells","ctrl101.A","A"
"cell1298","CD14+ Monocytes","ctrl107.A","A"
"cell1299","CD14+ Monocytes","ctrl101.B","B"
"cell1300","CD14+ Monocytes","ctrl107.A","A"
"cell1301","CD14+ Monocytes","ctrl101.A","A"
"cell1302","CD4 T cells","ctrl101.A","A"
"cell1303","CD14+ Monocytes","ctrl101.A","A"
"cell1304","CD14+ Monocytes","ctrl101.A","A"
"cell1305","CD14+ Monocytes","ctrl101.A","A"
"cell1306","CD4 T cells","ctrl101.A","A"
"cell1307","CD4 T cells","ctrl101.A","A"
"cell1308","CD14+ Monocytes","ctrl101.A","A"
"cell1309","CD4 T cells","ctrl101.A","A"
"cell1310","CD4 T cells","ctrl101.A","A"
"cell1311","CD4 T cells","ctrl101.A","A"
"cell1312","CD4 T cells","ctrl101.A","A"
"cell1313","CD14+ Monocytes","ctrl101.B","B"
"cell1314","CD14+ Monocytes","ctrl101.A","A"
"cell1315","CD14+ Monocytes","ctrl107.A","A"
"cell1316","CD14+ Monocytes","ctrl101.A","A"
"cell1317","CD14+ Monocytes","ctrl101.A","A"
"cell1318","CD4 T cells","ctrl101.A","A"
"cell1319","CD4 T cells","ctrl107.A","A"
"cell1320","CD14+ Monocytes","ctrl101.A","A"
"cell1321","CD14+ Monocytes","ctrl101.B","B"
"cell1322","CD14+ Monocytes","ctrl101.A","A"
"cell1323","CD14+ Monocytes","ctrl101.A","A"
"cell1324","CD14+ Monocytes","ctrl101.A","A"
"cell1325","CD14+ Monocytes","ctrl101.B","B"
"cell1326","CD14+ Monocytes","ctrl107.A","A"
"cell1327","CD14+ Monocytes","ctrl107.A","A"
"cell1328","CD4 T cells","ctrl101.A","A"
"cell1329","CD14+ Monocytes","ctrl101.A","A"
"cell1330","CD4 T cells","ctrl101.A","A"
"cell1331","CD14+ Monocytes","ctrl107.A","A"
"cell1332","CD4 T cells","ctrl107.A","A"
"cell1333","CD14+ Monocytes","ctrl101.A","A"
"cell1334","CD4 T cells","ctrl101.A","A"
"cell1335","CD14+ Monocytes","ctrl101.A","A"
"cell1336","CD4 T cells","ctrl107.B","B"
"cell1337","CD14+ Monocytes","ctrl101.A","A"
"cell1338","CD14+ Monocytes","ctrl101.A","A"
"cell1339","CD4 T cells","ctrl101.A","A"
"cell1340","CD4 T cells","ctrl101.B","B"
"cell1341","CD14+ Monocytes","ctrl107.B","B"
"cell1342","CD14+ Monocytes","ctrl101.A","A"
"cell1343","CD14+ Monocytes","ctrl101.A","A"
"cell1344","CD14+ Monocytes","ctrl101.B","B"
"cell1345","CD4 T cells","ctrl107.A","A"
"cell1346","CD14+ Monocytes","ctrl101.A","A"
"cell1347","CD14+ Monocytes","ctrl101.A","A"
"cell1348","CD14+ Monocytes","ctrl107.A","A"
"cell1349","CD4 T cells","ctrl101.A","A"
"cell1350","CD4 T cells","ctrl101.A","A"
"cell1351","CD4 T cells","ctrl101.A","A"
"cell1352","CD14+ Monocytes","ctrl101.A","A"
"cell1353","CD14+ Monocytes","ctrl101.B","B"
"cell1354","CD4 T cells","ctrl101.A","A"
"cell1355","CD4 T cells","ctrl101.A","A"
"cell1356","CD14+ Monocytes","ctrl101.A","A"
"cell1357","CD4 T cells","ctrl101.B","B"
"cell1358","CD4 T cells","ctrl101.A","A"
"cell1359","CD4 T cells","ctrl101.A","A"
"cell1360","CD4 T cells","ctrl101.A","A"
"cell1361","CD4 T cells","ctrl101.A","A"
"cell1362","CD14+ Monocytes","ctrl101.A","A"
"cell1363","CD14+ Monocytes","ctrl101.A","A"
"cell1364","CD14+ Monocytes","ctrl101.B","B"
"cell1365","CD14+ Monocytes","ctrl101.A","A"
"cell1366","CD4 T cells","ctrl101.A","A"
"cell1367","CD4 T cells","ctrl101.B","B"
"cell1368","CD14+ Monocytes","ctrl107.A","A"
"cell1369","CD4 T cells","ctrl101.A","A"
"cell1370","CD14+ Monocytes","ctrl101.A","A"
"cell1371","CD14+ Monocytes","ctrl101.A","A"
"cell1372","CD14+ Monocytes","ctrl101.B","B"
"cell1373","CD14+ Monocytes","ctrl101.A","A"
"cell1374","CD14+ Monocytes","ctrl101.A","A"
"cell1375","CD4 T cells","ctrl101.A","A"
"cell1376","CD4 T cells","ctrl101.A","A"
"cell1377","CD4 T cells","ctrl101.A","A"
"cell1378","CD14+ Monocytes","ctrl107.A","A"
"cell1379","CD14+ Monocytes","ctrl101.A","A"
"cell1380","CD14+ Monocytes","ctrl101.A","A"
"cell1381","CD4 T cells","ctrl101.A","A"
"cell1382","CD14+ Monocytes","ctrl101.B","B"
"cell1383","CD14+ Monocytes","ctrl101.A","A"
"cell1384","CD14+ Monocytes","ctrl101.A","A"
"cell1385","CD14+ Monocytes","ctrl101.A","A"
"cell1386","CD14+ Monocytes","ctrl101.A","A"
"cell1387","CD14+ Monocytes","ctrl101.A","A"
"cell1388","CD14+ Monocytes","ctrl101.A","A"
"cell1389","CD4 T cells","ctrl101.A","A"
"cell1390","CD4 T cells","ctrl107.A","A"
"cell1391","CD14+ Monocytes","ctrl101.A","A"
"cell1392","CD14+ Monocytes","ctrl101.A","A"
"cell1393","CD4 T cells","ctrl107.A","A"
"cell1394","CD14+ Monocytes","ctrl107.A","A"
"cell1395","CD14+ Monocytes","ctrl101.A","A"
"cell1396","CD14+ Monocytes","ctrl101.A","A"
"cell1397","CD14+ Monocytes","ctrl101.A","A"
"cell1398","CD14+ Monocytes","ctrl101.A","A"
"cell1399","CD4 T cells","ctrl101.A","A"
"cell1400","CD4 T cells","ctrl101.A","A"
"cell1401","CD4 T cells","ctrl101.A","A"
"cell1402","CD14+ Monocytes","ctrl101.A","A"
"cell1403","CD14+ Monocytes","ctrl101.A","A"
"cell1404","CD14+ Monocytes","ctrl101.A","A"
"cell1405","CD4 T cells","ctrl101.A","A"
"cell1406","CD4 T cells","ctrl101.A","A"
"cell1407","CD14+ Monocytes","ctrl101.B","B"
"cell1408","CD4 T cells","ctrl107.A","A"
"cell1409","CD4 T cells","ctrl107.A","A"
"cell1410","CD4 T cells","ctrl101.B","B"
"cell1411","CD4 T cells","ctrl101.A","A"
"cell1412","CD14+ Monocytes","ctrl101.A","A"
"cell1413","CD4 T cells","ctrl101.A","A"
"cell1414","CD14+ Monocytes","ctrl101.A","A"
"cell1415","CD14+ Monocytes","ctrl101.A","A"
"cell1416","CD14+ Monocytes","ctrl101.A","A"
"cell1417","CD14+ Monocytes","ctrl101.A","A"
"cell1418","CD14+ Monocytes","ctrl101.A","A"
"cell1419","CD4 T cells","ctrl101.A","A"
"cell1420","CD4 T cells","ctrl101.A","A"
"cell1421","CD14+ Monocytes","ctrl107.A","A"
"cell1422","CD14+ Monocytes","ctrl101.A","A"
"cell1423","CD4 T cells","ctrl101.A","A"
"cell1424","CD14+ Monocytes","ctrl101.A","A"
"cell1425","CD4 T cells","ctrl107.A","A"
"cell1426","CD14+ Monocytes","ctrl107.A","A"
"cell1427","CD4 T cells","ctrl101.A","A"
"cell1428","CD14+ Monocytes","ctrl101.B","B"
"cell1429","CD4 T cells","ctrl101.A","A"
"cell1430","CD14+ Monocytes","ctrl101.A","A"
"cell1431","CD14+ Monocytes","ctrl101.A","A"
"cell1432","CD14+ Monocytes","ctrl101.A","A"
"cell1433","CD4 T cells","ctrl101.A","A"
"cell1434","CD14+ Monocytes","ctrl101.A","A"
"cell1435","CD4 T cells","ctrl107.A","A"
"cell1436","CD14+ Monocytes","ctrl101.A","A"
"cell1437","CD14+ Monocytes","ctrl107.A","A"
"cell1438","CD4 T cells","ctrl101.A","A"
"cell1439","CD14+ Monocytes","ctrl101.A","A"
"cell1440","CD14+ Monocytes","ctrl101.A","A"
"cell1441","CD4 T cells","ctrl101.A","A"
"cell1442","CD4 T cells","ctrl101.A","A"
"cell1443","CD14+ Monocytes","ctrl101.A","A"
"cell1444","CD4 T cells","ctrl101.A","A"
"cell1445","CD4 T cells","ctrl101.A","A"
"cell1446","CD14+ Monocytes","ctrl101.A","A"
"cell1447","CD4 T cells","ctrl101.A","A"
"cell1448","CD4 T cells","ctrl101.A","A"
"cell1449","CD4 T cells","ctrl101.B","B"
"cell1450","CD14+ Monocytes","ctrl101.B","B"
"cell1451","CD4 T cells","ctrl101.A","A"
"cell1452","CD14+ Monocytes","ctrl101.A","A"
"cell1453","CD14+ Monocytes","ctrl101.A","A"
"cell1454","CD14+ Monocytes","ctrl101.A","A"
"cell1455","CD14+ Monocytes","ctrl101.A","A"
"cell1456","CD4 T cells","ctrl101.B","B"
"cell1457","CD4 T cells","ctrl101.A","A"
"cell1458","CD4 T cells","ctrl101.A","A"
"cell1459","CD4 T cells","ctrl107.A","A"
"cell1460","CD14+ Monocytes","ctrl101.A","A"
"cell1461","CD4 T cells","ctrl101.A","A"
"cell1462","CD4 T cells","ctrl101.A","A"
"cell1463","CD14+ Monocytes","ctrl101.A","A"
"cell1464","CD4 T cells","ctrl101.A","A"
"cell1465","CD14+ Monocytes","ctrl101.A","A"
"cell1466","CD14+ Monocytes","ctrl101.A","A"
"cell1467","CD4 T cells","ctrl101.A","A"
"cell1468","CD14+ Monocytes","ctrl101.A","A"
"cell1469","CD14+ Monocytes","ctrl107.A","A"
"cell1470","CD14+ Monocytes","ctrl101.A","A"
"cell1471","CD14+ Monocytes","ctrl101.A","A"
"cell1472","CD4 T cells","ctrl101.B","B"
"cell1473","CD14+ Monocytes","ctrl101.A","A"
"cell1474","CD4 T cells","ctrl101.A","A"
"cell1475","CD14+ Monocytes","ctrl101.A","A"
"cell1476","CD14+ Monocytes","ctrl101.A","A"
"cell1477","CD4 T cells","ctrl101.A","A"
"cell1478","CD4 T cells","ctrl101.A","A"
"cell1479","CD14+ Monocytes","ctrl101.A","A"
"cell1480","CD14+ Monocytes","ctrl101.A","A"
"cell1481","CD14+ Monocytes","ctrl101.A","A"
"cell1482","CD4 T cells","ctrl107.A","A"
"cell1483","CD14+ Monocytes","ctrl101.A","A"
"cell1484","CD4 T cells","ctrl101.B","B"
"cell1485","CD4 T cells","ctrl101.A","A"
"cell1486","CD4 T cells","ctrl107.B","B"
"cell1487","CD4 T cells","ctrl101.B","B"
"cell1488","CD4 T cells","ctrl101.A","A"
"cell1489","CD14+ Monocytes","ctrl101.A","A"
"cell1490","CD4 T cells","ctrl101.A","A"
"cell1491","CD14+ Monocytes","ctrl101.A","A"
"cell1492","CD14+ Monocytes","ctrl101.A","A"
"cell1493","CD14+ Monocytes","ctrl107.A","A"
"cell1494","CD14+ Monocytes","ctrl101.A","A"
"cell1495","CD4 T cells","ctrl101.B","B"
"cell1496","CD14+ Monocytes","ctrl101.A","A"
"cell1497","CD4 T cells","ctrl101.A","A"
"cell1498","CD4 T cells","ctrl101.A","A"
"cell1499","CD4 T cells","ctrl101.A","A"
"cell1500","CD4 T cells","ctrl101.A","A"
"cell1501","CD14+ Monocytes","ctrl101.A","A"
"cell1502","CD4 T cells","ctrl101.A","A"
"cell1503","CD14+ Monocytes","ctrl101.A","A"
"cell1504","CD4 T cells","ctrl101.B","B"
"cell1505","CD4 T cells","ctrl101.A","A"
"cell1506","CD4 T cells","ctrl101.B","B"
"cell1507","CD4 T cells","ctrl101.A","A"
"cell1508","CD4 T cells","ctrl101.A","A"
"cell1509","CD4 T cells","ctrl101.A","A"
"cell1510","CD4 T cells","ctrl101.A","A"
"cell1511","CD4 T cells","ctrl101.A","A"
"cell1512","CD4 T cells","ctrl107.A","A"
"cell1513","CD14+ Monocytes","ctrl101.A","A"
"cell1514","CD4 T cells","ctrl107.A","A"
"cell1515","CD14+ Monocytes","ctrl101.A","A"
"cell1516","CD14+ Monocytes","ctrl101.A","A"
"cell1517","CD4 T cells","ctrl101.A","A"
"cell1518","CD4 T cells","ctrl101.B","B"
"cell1519","CD14+ Monocytes","ctrl101.A","A"
"cell1520","CD14+ Monocytes","ctrl101.A","A"
"cell1521","CD14+ Monocytes","ctrl101.A","A"
"cell1522","CD4 T cells","ctrl101.A","A"
"cell1523","CD4 T cells","ctrl101.A","A"
"cell1524","CD4 T cells","ctrl101.A","A"
"cell1525","CD4 T cells","ctrl101.A","A"
"cell1526","CD4 T cells","ctrl101.A","A"
"cell1527","CD14+ Monocytes","ctrl101.A","A"
"cell1528","CD14+ Monocytes","ctrl101.A","A"
"cell1529","CD14+ Monocytes","ctrl101.A","A"
"cell1530","CD4 T cells","ctrl101.A","A"
"cell1531","CD4 T cells","ctrl101.A","A"
"cell1532","CD4 T cells","ctrl101.A","A"
"cell1533","CD14+ Monocytes","ctrl101.A","A"
"cell1534","CD14+ Monocytes","ctrl101.A","A"
"cell1535","CD14+ Monocytes","ctrl101.A","A"
"cell1536","CD4 T cells","ctrl107.A","A"
"cell1537","CD14+ Monocytes","ctrl101.A","A"
"cell1538","CD14+ Monocytes","ctrl107.A","A"
"cell1539","CD14+ Monocytes","ctrl101.A","A"
"cell1540","CD4 T cells","ctrl101.A","A"
"cell1541","CD14+ Monocytes","ctrl101.A","A"
"cell1542","CD4 T cells","ctrl101.A","A"
"cell1543","CD14+ Monocytes","ctrl101.A","A"
"cell1544","CD4 T cells","ctrl101.A","A"
"cell1545","CD4 T cells","ctrl101.A","A"
"cell1546","CD14+ Monocytes","ctrl101.A","A"
"cell1547","CD4 T cells","ctrl101.B","B"
"cell1548","CD14+ Monocytes","ctrl101.A","A"
"cell1549","CD4 T cells","ctrl101.A","A"
"cell1550","CD4 T cells","ctrl101.A","A"
"cell1551","CD14+ Monocytes","ctrl101.A","A"
"cell1552","CD14+ Monocytes","ctrl101.A","A"
"cell1553","CD14+ Monocytes","ctrl101.A","A"
"cell1554","CD4 T cells","ctrl101.A","A"
"cell1555","CD14+ Monocytes","ctrl101.B","B"
"cell1556","CD14+ Monocytes","ctrl101.B","B"
"cell1557","CD14+ Monocytes","ctrl107.A","A"
"cell1558","CD14+ Monocytes","ctrl101.A","A"
"cell1559","CD14+ Monocytes","ctrl101.B","B"
"cell1560","CD4 T cells","ctrl101.A","A"
"cell1561","CD4 T cells","ctrl101.B","B"
"cell1562","CD4 T cells","ctrl101.A","A"
"cell1563","CD4 T cells","ctrl101.A","A"
"cell1564","CD4 T cells","ctrl101.A","A"
"cell1565","CD4 T cells","ctrl101.B","B"
"cell1566","CD4 T cells","ctrl101.A","A"
"cell1567","CD14+ Monocytes","ctrl107.A","A"
"cell1568","CD4 T cells","ctrl101.A","A"
"cell1569","CD4 T cells","ctrl101.A","A"
"cell1570","CD4 T cells","ctrl101.B","B"
"cell1571","CD4 T cells","ctrl101.A","A"
"cell1572","CD4 T cells","ctrl107.A","A"
"cell1573","CD4 T cells","ctrl101.A","A"
"cell1574","CD14+ Monocytes","ctrl101.A","A"
"cell1575","CD14+ Monocytes","ctrl101.A","A"
"cell1576","CD4 T cells","ctrl101.A","A"
"cell1577","CD4 T cells","ctrl101.A","A"
"cell1578","CD14+ Monocytes","ctrl101.A","A"
"cell1579","CD4 T cells","ctrl101.A","A"
"cell1580","CD14+ Monocytes","ctrl101.A","A"
"cell1581","CD4 T cells","ctrl101.A","A"
"cell1582","CD4 T cells","ctrl101.A","A"
"cell1583","CD14+ Monocytes","ctrl101.A","A"
"cell1584","CD14+ Monocytes","ctrl101.A","A"
"cell1585","CD14+ Monocytes","ctrl101.A","A"
"cell1586","CD14+ Monocytes","ctrl101.A","A"
"cell1587","CD14+ Monocytes","ctrl101.A","A"
"cell1588","CD4 T cells","ctrl101.A","A"
"cell1589","CD14+ Monocytes","ctrl101.A","A"
"cell1590","CD4 T cells","ctrl101.A","A"
"cell1591","CD4 T cells","ctrl101.A","A"
"cell1592","CD14+ Monocytes","ctrl101.B","B"
"cell1593","CD14+ Monocytes","ctrl101.A","A"
"cell1594","CD14+ Monocytes","ctrl101.B","B"
"cell1595","CD4 T cells","ctrl101.B","B"
"cell1596","CD14+ Monocytes","ctrl101.A","A"
"cell1597","CD4 T cells","ctrl101.A","A"
"cell1598","CD14+ Monocytes","ctrl101.A","A"
"cell1599","CD14+ Monocytes","ctrl101.A","A"
"cell1600","CD4 T cells","ctrl101.A","A"
"cell1601","CD4 T cells","ctrl101.A","A"
"cell1602","CD4 T cells","ctrl101.A","A"
"cell1603","CD4 T cells","ctrl101.A","A"
"cell1604","CD14+ Monocytes","ctrl107.B","B"
"cell1605","CD14+ Monocytes","ctrl101.A","A"
"cell1606","CD4 T cells","ctrl101.A","A"
"cell1607","CD4 T cells","ctrl101.A","A"
"cell1608","CD4 T cells","ctrl107.A","A"
"cell1609","CD4 T cells","ctrl101.A","A"
"cell1610","CD4 T cells","ctrl101.A","A"
"cell1611","CD4 T cells","ctrl101.A","A"
"cell1612","CD4 T cells","ctrl101.A","A"
"cell1613","CD14+ Monocytes","ctrl101.A","A"
"cell1614","CD4 T cells","ctrl107.A","A"
"cell1615","CD4 T cells","ctrl101.A","A"
"cell1616","CD4 T cells","ctrl101.A","A"
"cell1617","CD14+ Monocytes","ctrl101.A","A"
"cell1618","CD4 T cells","ctrl107.A","A"
"cell1619","CD4 T cells","ctrl101.B","B"
"cell1620","CD14+ Monocytes","ctrl107.B","B"
"cell1621","CD14+ Monocytes","ctrl101.A","A"
"cell1622","CD4 T cells","ctrl101.A","A"
"cell1623","CD4 T cells","ctrl101.B","B"
"cell1624","CD4 T cells","ctrl101.A","A"
"cell1625","CD4 T cells","ctrl101.A","A"
"cell1626","CD14+ Monocytes","ctrl101.A","A"
"cell1627","CD14+ Monocytes","ctrl101.A","A"
"cell1628","CD14+ Monocytes","ctrl101.A","A"
"cell1629","CD4 T cells","ctrl101.B","B"
"cell1630","CD4 T cells","ctrl101.A","A"
"cell1631","CD4 T cells","ctrl101.A","A"
"cell1632","CD4 T cells","ctrl107.A","A"
"cell1633","CD4 T cells","ctrl107.A","A"
"cell1634","CD4 T cells","ctrl101.A","A"
"cell1635","CD4 T cells","ctrl101.A","A"
"cell1636","CD4 T cells","ctrl101.A","A"
"cell1637","CD14+ Monocytes","ctrl101.A","A"
"cell1638","CD4 T cells","ctrl101.A","A"
"cell1639","CD4 T cells","ctrl101.A","A"
"cell1640","CD4 T cells","ctrl101.A","A"
"cell1641","CD14+ Monocytes","ctrl101.A","A"
"cell1642","CD4 T cells","ctrl101.A","A"
"cell1643","CD4 T cells","ctrl101.A","A"
"cell1644","CD14+ Monocytes","ctrl101.A","A"
"cell1645","CD4 T cells","ctrl101.A","A"
"cell1646","CD14+ Monocytes","ctrl101.B","B"
"cell1647","CD4 T cells","ctrl101.A","A"
"cell1648","CD14+ Monocytes","ctrl101.A","A"
"cell1649","CD4 T cells","ctrl101.A","A"
"cell1650","CD14+ Monocytes","ctrl101.A","A"
"cell1651","CD4 T cells","ctrl101.A","A"
"cell1652","CD4 T cells","ctrl101.A","A"
"cell1653","CD4 T cells","ctrl101.B","B"
"cell1654","CD14+ Monocytes","ctrl101.A","A"
"cell1655","CD14+ Monocytes","ctrl101.A","A"
"cell1656","CD14+ Monocytes","ctrl101.A","A"
"cell1657","CD14+ Monocytes","ctrl101.A","A"
"cell1658","CD14+ Monocytes","ctrl101.B","B"
"cell1659","CD14+ Monocytes","ctrl101.A","A"
"cell1660","CD14+ Monocytes","ctrl101.B","B"
"cell1661","CD14+ Monocytes","ctrl101.A","A"
"cell1662","CD14+ Monocytes","ctrl101.B","B"
"cell1663","CD4 T cells","ctrl101.A","A"
"cell1664","CD14+ Monocytes","ctrl101.A","A"
"cell1665","CD4 T cells","ctrl101.A","A"
"cell1666","CD14+ Monocytes","ctrl101.A","A"
"cell1667","CD14+ Monocytes","ctrl101.A","A"
"cell1668","CD14+ Monocytes","ctrl101.A","A"
"cell1669","CD4 T cells","ctrl101.B","B"
"cell1670","CD14+ Monocytes","ctrl101.A","A"
"cell1671","CD14+ Monocytes","ctrl101.A","A"
"cell1672","CD14+ Monocytes","ctrl101.A","A"
"cell1673","CD4 T cells","ctrl101.A","A"
"cell1674","CD14+ Monocytes","ctrl101.A","A"
"cell1675","CD4 T cells","ctrl101.A","A"
"cell1676","CD4 T cells","ctrl101.A","A"
"cell1677","CD14+ Monocytes","ctrl101.A","A"
"cell1678","CD4 T cells","ctrl101.A","A"
"cell1679","CD14+ Monocytes","ctrl101.A","A"
"cell1680","CD4 T cells","ctrl101.A","A"
"cell1681","CD4 T cells","ctrl101.A","A"
"cell1682","CD14+ Monocytes","ctrl101.A","A"
"cell1683","CD4 T cells","ctrl107.A","A"
"cell1684","CD14+ Monocytes","ctrl101.A","A"
"cell1685","CD14+ Monocytes","ctrl101.A","A"
"cell1686","CD14+ Monocytes","ctrl101.B","B"
"cell1687","CD4 T cells","ctrl101.A","A"
"cell1688","CD4 T cells","ctrl101.A","A"
"cell1689","CD4 T cells","ctrl107.A","A"
"cell1690","CD4 T cells","ctrl101.B","B"
"cell1691","CD4 T cells","ctrl101.A","A"
"cell1692","CD14+ Monocytes","ctrl107.A","A"
"cell1693","CD14+ Monocytes","ctrl101.A","A"
"cell1694","CD4 T cells","ctrl101.A","A"
"cell1695","CD14+ Monocytes","ctrl101.A","A"
"cell1696","CD14+ Monocytes","ctrl101.A","A"
"cell1697","CD14+ Monocytes","ctrl101.A","A"
"cell1698","CD14+ Monocytes","ctrl101.A","A"
"cell1699","CD14+ Monocytes","ctrl101.A","A"
"cell1700","CD14+ Monocytes","ctrl107.B","B"
"cell1701","CD4 T cells","ctrl101.A","A"
"cell1702","CD14+ Monocytes","ctrl101.A","A"
"cell1703","CD4 T cells","ctrl101.A","A"
"cell1704","CD4 T cells","ctrl101.A","A"
"cell1705","CD14+ Monocytes","ctrl101.B","B"
"cell1706","CD4 T cells","ctrl101.A","A"
"cell1707","CD14+ Monocytes","ctrl101.A","A"
"cell1708","CD4 T cells","ctrl107.B","B"
"cell1709","CD4 T cells","ctrl101.A","A"
"cell1710","CD14+ Monocytes","ctrl101.A","A"
"cell1711","CD4 T cells","ctrl101.A","A"
"cell1712","CD4 T cells","ctrl101.A","A"
"cell1713","CD4 T cells","ctrl107.A","A"
"cell1714","CD4 T cells","ctrl101.A","A"
"cell1715","CD4 T cells","ctrl101.A","A"
"cell1716","CD4 T cells","ctrl101.A","A"
"cell1717","CD4 T cells","ctrl101.B","B"
"cell1718","CD14+ Monocytes","ctrl101.A","A"
"cell1719","CD14+ Monocytes","ctrl101.A","A"
"cell1720","CD14+ Monocytes","ctrl101.A","A"
"cell1721","CD14+ Monocytes","ctrl107.B","B"
"cell1722","CD14+ Monocytes","ctrl101.B","B"
"cell1723","CD4 T cells","ctrl107.A","A"
"cell1724","CD4 T cells","ctrl101.A","A"
"cell1725","CD14+ Monocytes","ctrl101.A","A"
"cell1726","CD4 T cells","ctrl101.A","A"
"cell1727","CD14+ Monocytes","ctrl101.A","A"
"cell1728","CD4 T cells","ctrl101.B","B"
"cell1729","CD14+ Monocytes","ctrl107.B","B"
"cell1730","CD14+ Monocytes","ctrl107.A","A"
"cell1731","CD14+ Monocytes","ctrl101.A","A"
"cell1732","CD14+ Monocytes","ctrl101.A","A"
"cell1733","CD14+ Monocytes","ctrl101.A","A"
"cell1734","CD14+ Monocytes","ctrl101.B","B"
"cell1735","CD14+ Monocytes","ctrl101.A","A"
"cell1736","CD4 T cells","ctrl101.A","A"
"cell1737","CD14+ Monocytes","ctrl107.A","A"
"cell1738","CD14+ Monocytes","ctrl107.B","B"
"cell1739","CD14+ Monocytes","ctrl101.B","B"
"cell1740","CD4 T cells","ctrl101.A","A"
"cell1741","CD4 T cells","ctrl101.A","A"
"cell1742","CD14+ Monocytes","ctrl101.A","A"
"cell1743","CD4 T cells","ctrl101.B","B"
"cell1744","CD4 T cells","ctrl101.A","A"
"cell1745","CD4 T cells","ctrl101.A","A"
"cell1746","CD14+ Monocytes","ctrl101.A","A"
"cell1747","CD4 T cells","ctrl101.A","A"
"cell1748","CD4 T cells","ctrl107.A","A"
"cell1749","CD14+ Monocytes","ctrl101.A","A"
"cell1750","CD4 T cells","ctrl107.A","A"
"cell1751","CD14+ Monocytes","ctrl101.A","A"
